project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.22857142857142856,false,PACKAGE,15,19,0.44666666666666666,false,5522,35,0.002348132952009083,0,PACKAGE,/home/ubuntu/kafka/connect/api/src/main/java/org/apache/kafka/connect/storage/package-info.java,connect/api/src/main/java/org/apache/kafka/connect/storage/package-info.java,org.apache.kafka.connect.storage,storage,8429,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,2,14,0.9302325581395349,false,852,13,0.001066360243833505,0,PACKAGE,.,.,org.apache.kafka.connect.tools,tools,8439,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.625,false,PACKAGE,13,7,0.21212121212121213,false,337,8,0.002227131670665871,0,PACKAGE,/home/ubuntu/kafka/connect/api/src/main/java/org/apache/kafka/connect/sink/package-info.java,connect/api/src/main/java/org/apache/kafka/connect/sink/package-info.java,org.apache.kafka.connect.sink,sink,8446,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.06896551724137931,false,PACKAGE,11,23,0.5058823529411764,false,4147,30,0.0019653467895215317,0,PACKAGE,/home/ubuntu/kafka/connect/api/src/main/java/org/apache/kafka/connect/util/package-info.java,connect/api/src/main/java/org/apache/kafka/connect/util/package-info.java,org.apache.kafka.connect.util,util,8453,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.05357142857142857,false,PACKAGE,58,30,0.31950207468879666,false,4686,56,0.027536061920769746,0,PACKAGE,.,.,org.apache.kafka.test,test,49416,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,1,38,0.9661016949152542,false,5318,28,0.0010166885247834404,0,PACKAGE,.,.,org.apache.kafka.connect.integration,integration,8460,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.5,false,PACKAGE,14,6,0.1625,false,380,10,0.0021942695659306483,0,PACKAGE,/home/ubuntu/kafka/connect/api/src/main/java/org/apache/kafka/connect/source/package-info.java,connect/api/src/main/java/org/apache/kafka/connect/source/package-info.java,org.apache.kafka.connect.source,source,8467,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,2,9,0.8723404255319149,false,1441,5,0.0012288824683828877,0,PACKAGE,.,.,org.apache.kafka.trogdor.agent,agent,8475,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,19,0,0.0,false,26,1,0.012197226777491316,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/config/types/package-info.java,clients/src/main/java/org/apache/kafka/common/config/types/package-info.java,org.apache.kafka.common.config.types,types,387,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,9,2,0.12,false,125,2,0.008935937932173399,0,PACKAGE,.,.,org.apache.kafka.common.config.internals,internals,394,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.14285714285714285,false,PACKAGE,5,4,0.2608695652173913,false,405,7,0.006146940032249423,0,PACKAGE,/home/ubuntu/kafka/clients/src/main/java/org/apache/kafka/common/config/provider/package-info.java,clients/src/main/java/org/apache/kafka/common/config/provider/package-info.java,org.apache.kafka.common.config.provider,provider,401,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.0,false,PACKAGE,0,6,1.0,false,309,2,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.jmh.partition,partition,16788,container
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,0.125,false,PACKAGE,0,0,0.0,false,5949,32,9.712430859914466E-4,0,PACKAGE,.,.,org.apache.kafka.message,message,409,container
