project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,SumOfEdgeWeights,TotalNumberOfChanges,smellType,vertexId,vertexLabel
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,1496.9317237484668,107.6327038179048,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.config.internals, org.apache.kafka.clients, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74870;74815;76051;75300;76096;76120;75822;74512;75503;74325;75508,0.0,,0.0,0.0,0.0,5.454545454545454,3.109090909090909,49,1.1214447003546639E-4,1,6.093501932795047,CIRCLE,11,60349,312,0.8907235428302466,1.3970452881671669,0.0,2047,0,cyclicDep,194108,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,269.3034972576214,15.192837858669694,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.admin]",74870;74793,0.0,,0.0,0.0,0.0,5.5,4.0,2,1.4814363480083692E-5,1,6.794443644623556,TINY,2,1571,5,0.5,0.0,0.0,52,0,cyclicDep,194123,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,348.58300093528095,23.824005205133506,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74870;74815;76051;75300;76096;76120;75822;74512;75679,0.0,,0.0,0.0,0.0,5.777777777777778,3.7222222222222223,28,6.965744953433853E-5,1,6.877397909179438,CIRCLE,9,2569,12,0.6285393610547089,1.260756190878913,0.0,303,0,cyclicDep,194129,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,199.003052031771,9.396768191081579,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74870;74815;76051;75300;76096;76120;75822;75242,0.0,,0.0,0.0,0.0,5.875,3.75,21,6.800481851666122E-5,1,6.6445185091518315,CIRCLE,8,897,2,0.5994789404140899,1.299038105676658,0.0,159,0,cyclicDep,194142,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,410.79660081635086,27.472041995879785,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74870;74815;76051;75300;76096;76120;75822;74512;75503;74437,0.0,,0.0,0.0,0.0,5.6,3.3333333333333335,39,1.1303542083719553E-4,1,6.142935338351619,CIRCLE,10,4472,20,0.8,1.429840705968481,0.0,1231,0,cyclicDep,194154,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,330.88967616316535,21.961919163725838,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;75721,0.0,,0.0,0.0,0.0,5.545454545454546,3.2181818181818183,45,1.1169352922122339E-4,1,6.339859970548957,CIRCLE,11,2724,12,0.7820295697311479,1.3576839783705068,0.0,1275,0,cyclicDep,194168,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,301.92647092282476,20.048397553462728,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.utils, org.apache.kafka.common.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;75613,0.0,,0.0,0.0,0.0,5.5,3.121212121212121,58,1.277715245920434E-4,1,6.339859970548957,CIRCLE,12,2268,10,0.7637626158259734,1.2970263369110726,0.0,1486,0,cyclicDep,194183,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,196.40824119019985,9.207760368587774,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.common.config.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.utils, org.apache.kafka.common.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",75891;75539;74870;74815;76051;75300;76096;76120;75144,0.0,,0.0,0.0,0.0,5.666666666666667,3.0833333333333335,29,1.0354355782020244E-4,1,6.510869796169159,CIRCLE,9,910,2,0.6666666666666666,1.1873172373979173,0.0,275,0,cyclicDep,194199,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,315.44686796324976,21.23235764962621,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.clients.consumer, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.clients.consumer.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin, org.apache.kafka.common, org.apache.kafka.common.security.auth, org.apache.kafka.common.metrics, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.internals]",74721;75891;75539;74870;74815;76051;75300;76096;76120;75822;74512;75503;74533,0.0,,0.0,0.0,0.0,5.461538461538462,3.0384615384615383,66,1.2599939577300767E-4,1,6.401796703494763,CIRCLE,13,2428,11,0.7457969011409736,1.2449107443271679,0.0,1600,0,cyclicDep,194218,smell
kafka,8d28c3d55ed944a55b376ab7eb74eb24fe847c0f,1,2022-12-29T10:59:18.000,196.62395596272864,9.207760368587774,0.0,CONTAINER,PACKAGE,"[org.apache.kafka.common.security.auth, org.apache.kafka.common.metrics, org.apache.kafka.common.config, org.apache.kafka.clients.admin.internals, org.apache.kafka.common.security.authenticator, org.apache.kafka.common.config.internals, org.apache.kafka.common.utils, org.apache.kafka.common.internals, org.apache.kafka.common.security.scram.internals, org.apache.kafka.clients.admin]",74721;75891;75539;74870;74815;76051;75300;76096;76120;75544,0.0,,0.0,0.0,0.0,5.6,2.9555555555555557,34,1.0366258703264008E-4,1,6.510869796169159,CIRCLE,10,912,2,0.66332495807108,1.1344221349422416,0.0,308,0,cyclicDep,194235,smell
