,File,Frequency,lines_modified
198,OffsetFetchResponse.java,38,1216
199,CollectionUtils.java,8,171
200,RequestResponseTest.java,235,10544
201,InvalidTopicException.java,5,92
202,ClientUtilsTest.java,27,719
203,UtilsTest.java,42,1347
204,RecordBatchTooLargeException.java,2,61
205,NotEnoughReplicasAfterAppendException.java,4,96
206,NotEnoughReplicasException.java,3,76
207,KafkaLZ4BlockInputStream.java,15,1174
208,KafkaLZ4BlockOutputStream.java,13,1343
209,AbstractConfigTest.java,26,1119
210,ConsumerRebalanceListener.java,20,395
211,ByteArrayDeserializer.java,4,75
212,ByteArraySerializer.java,4,76
213,DeserializationException.java,2,94
214,SerializationException.java,3,76
215,StringDeserializer.java,6,87
216,StringSerializer.java,6,87
217,SerializationTest.java,19,900
218,MetricName.java,11,376
219,CommonClientConfigs.java,44,479
220,RequestCompletionHandler.java,4,47
221,CommitType.java,3,34
222,NoOffsetForPartitionException.java,5,116
223,Heartbeat.java,17,568
224,NoOpConsumerRebalanceCallback.java,2,34
225,SubscriptionState.java,77,3110
226,MockConsumerTest.java,23,280
227,SubscriptionStateTest.java,42,1514
228,FakeMetricsReporter.java,3,63
229,InvalidRequiredAcksException.java,2,33
230,ProducerRecordTest.java,7,122
231,InterruptException.java,3,65
232,Coordinator.java,43,3725
233,Fetcher.java,197,7863
234,CoordinatorTest.java,27,2196
235,FetcherTest.java,190,11244
236,HeartbeatTest.java,13,237
237,AbstractRequest.java,73,851
238,SecurityProtocol.java,11,177
239,IntegerDeserializer.java,4,80
240,IntegerSerializer.java,3,71
241,KafkaConsumerTest.java,159,7267
242,KafkaProducerTest.java,85,4268
243,MockMetricsReporter.java,6,73
244,MockSerializer.java,5,74
245,DefaultPartitionerTest.java,10,190
246,InvalidReceiveException.java,2,40
247,MultiSend.java,5,190
248,ResponseSend.java,3,84
249,ConsumerWakeupException.java,1,20
250,OffsetResetStrategy.java,3,48
251,RequestFuture.java,12,621
252,KafkaLog4jAppender.java,17,561
253,KafkaLog4jAppenderTest.java,9,403
254,MockKafkaLog4jAppender.java,5,71
255,ConsumerCommitCallback.java,1,33
256,ConsumerNetworkClient.java,61,2036
257,DelayedTask.java,2,48
258,DelayedTaskQueue.java,2,192
259,NoAvailableBrokersException.java,2,45
260,RequestFutureAdapter.java,2,50
261,RequestFutureListener.java,2,45
262,SendFailedException.java,2,54
263,StaleMetadataException.java,3,57
264,ConsumerCoordinatorNotAvailableException.java,1,40
265,DisconnectException.java,3,62
266,IllegalGenerationException.java,3,57
267,NotCoordinatorForConsumerException.java,1,40
268,OffsetLoadInProgressException.java,1,40
269,UnknownConsumerIdException.java,2,35
270,ConsumerNetworkClientTest.java,35,753
271,DelayedTaskQueueTest.java,2,178
272,RequestFutureTest.java,5,302
273,ThroughputThrottler.java,9,213
274,VerifiableProducer.java,31,1048
275,InterfaceStability.java,3,90
276,Connector.java,12,219
277,ConnectorContext.java,5,56
278,CopycatRecord.java,2,140
279,Task.java,58,941
280,CopycatException.java,1,40
281,SinkConnector.java,5,62
282,SinkRecord.java,9,151
283,SinkTask.java,14,236
284,SinkTaskContext.java,13,214
285,SourceConnector.java,7,96
286,SourceRecord.java,11,270
287,SourceTask.java,18,260
288,SourceTaskContext.java,9,106
289,Converter.java,10,156
290,OffsetStorageReader.java,6,95
291,ConnectorUtils.java,4,80
292,ConnectorReconfigurationTest.java,11,140
293,ConnectorUtilsTest.java,6,94
294,DataRuntimeException.java,1,36
295,DataTypeException.java,1,33
296,ObjectProperties.java,2,170
297,SchemaBuilder.java,19,5374
298,SchemaParseException.java,1,32
299,FileStreamSinkConnector.java,10,142
300,FileStreamSinkTask.java,14,163
301,FileStreamSourceConnector.java,13,236
302,FileStreamSourceTask.java,20,449
303,FileStreamSinkConnectorTest.java,11,225
304,FileStreamSinkTaskTest.java,9,179
305,FileStreamSourceConnectorTest.java,12,318
306,FileStreamSourceTaskTest.java,19,451
307,JsonConverter.java,32,1897
308,JsonDeserializer.java,7,171
309,JsonSchema.java,5,205
310,JsonSerializer.java,7,139
311,JsonConverterTest.java,25,1443
312,CopycatStandalone.java,5,130
313,WorkerConfig.java,53,1131
314,ConnectorConfig.java,37,1024
315,Copycat.java,2,101
316,Herder.java,25,418
317,SinkTaskContextImpl.java,1,24
318,SourceTaskOffsetCommitter.java,13,343
319,Worker.java,92,4478
320,WorkerSinkTask.java,87,2506
321,WorkerSinkTaskThread.java,9,290
322,WorkerSourceTask.java,78,2486
