,File,Frequency,lines_modified
323,WorkerTask.java,40,951
324,StandaloneConnectorContext.java,1,42
325,StandaloneHerder.java,45,1666
326,FileOffsetBackingStore.java,11,210
327,MemoryOffsetBackingStore.java,11,237
328,OffsetBackingStore.java,7,131
329,OffsetStorageReaderImpl.java,11,261
330,OffsetStorageWriter.java,13,398
331,ConnectorTaskId.java,8,119
332,FutureCallback.java,6,155
333,ShutdownableThread.java,5,312
334,WorkerSinkTaskTest.java,76,4233
335,WorkerSourceTaskTest.java,76,3364
336,WorkerTest.java,70,5777
337,StandaloneHerderTest.java,45,2362
338,FileOffsetBackingStoreTest.java,14,236
339,OffsetStorageWriterTest.java,14,614
340,ShutdownableThreadTest.java,4,160
341,TestBackgroundThreadExceptionHandler.java,3,54
342,ThreadedTest.java,4,102
343,SSLConfigs.java,4,125
344,Authenticator.java,12,278
345,ChannelBuilder.java,8,92
346,DefaultAuthenticator.java,4,138
347,KafkaChannel.java,33,976
348,PlaintextChannelBuilder.java,20,244
349,PlaintextTransportLayer.java,13,315
350,SSLChannelBuilder.java,3,103
351,SSLTransportLayer.java,6,844
352,TransportLayer.java,15,199
353,DefaultPrincipalBuilder.java,5,102
354,KafkaPrincipal.java,10,268
355,PrincipalBuilder.java,6,136
356,SSLFactory.java,5,284
357,EchoServer.java,10,254
358,SSLSelectorTest.java,8,622
359,SSLFactoryTest.java,2,69
360,TestSSLUtils.java,2,253
361,AppInfoParser.java,12,223
362,StopReplicaRequest.java,24,857
363,StopReplicaResponse.java,20,426
364,NoOpConsumerRebalanceListener.java,3,40
365,CopycatSchema.java,5,381
366,SchemaAndValue.java,3,73
367,DataException.java,3,38
368,SchemaBuilderException.java,3,30
369,CopycatSchemaTest.java,3,339
370,FieldTest.java,4,43
371,SchemaBuilderTest.java,12,539
372,StructTest.java,14,547
373,StringConverter.java,5,169
374,StringConverterTest.java,8,184
375,OffsetUtils.java,7,76
376,ManualMetadataUpdater.java,9,165
377,MetadataUpdater.java,11,173
378,BrokerNotAvailableException.java,2,39
